A=3415 B=6068 C=7056 X=224660391 Y=9266691507 Z=51386989514 M=7303
A=3119 B=4518 C=6076 X=835696813 Y=7498609683 Z=30207855461 M=3539
A=4109 B=3700 C=6378 X=373607850 Y=5379704808 Z=15122596195 M=7850
A=5217 B=9658 C=7973 X=976376758 Y=4489978442 Z=55220014449 M=8891
A=7446 B=9359 C=9947 X=950349217 Y=2402962678 Z=86817909361 M=1649
A=9932 B=6585 C=6911 X=976410920 Y=8481672510 Z=46515330419 M=5969
A=3852 B=8858 C=6056 X=502883562 Y=7230373621 Z=80039682540 M=9183
A=7759 B=4645 C=6051 X=608110342 Y=2963300087 Z=12976272247 M=2260
A=7150 B=7739 C=6353 X=815741984 Y=3346358525 Z=39383054924 M=6691
A=4527 B=4319 C=6154 X=253633102 Y=4844950297 Z=59502156307 M=3794
A=5202 B=7977 C=9293 X=576261000 Y=3995652255 Z=66533471073 M=1156
A=9762 B=5158 C=6117 X=104954212 Y=6148239132 Z=65293786835 M=8452
A=5973 B=4932 C=7545 X=888874455 Y=7513847700 Z=97942274585 M=3297
A=2246 B=6746 C=6427 X=949210168 Y=5792639745 Z=74571694117 M=3033
A=4049 B=6443 C=8764 X=777842872 Y=9181970562 Z=87676965708 M=4517
A=4132 B=4418 C=5165 X=882441532 Y=9469088843 Z=32381423274 M=1621
A=3685 B=7501 C=6783 X=938875953 Y=7252244133 Z=32023213977 M=7438
A=8230 B=5597 C=6364 X=845087054 Y=3670465626 Z=79883998277 M=7632
A=8121 B=6579 C=6973 X=574664736 Y=1072831311 Z=76921875085 M=8593
A=7507 B=5343 C=6187 X=325694806 Y=4830020118 Z=93848323097 M=1858
A=5857 B=8513 C=6271 X=796278649 Y=7510198146 Z=80873974899 M=3341
A=8477 B=6924 C=7977 X=894954189 Y=5187848804 Z=13010540467 M=3298
A=3607 B=7383 C=6953 X=782251863 Y=4082831378 Z=85737617741 M=2633
A=3176 B=5250 C=6969 X=759186897 Y=7089996139 Z=45277229096 M=2187
A=5431 B=8404 C=7362 X=735267966 Y=4568489614 Z=48675885690 M=7287
A=4369 B=3489 C=6296 X=794856968 Y=6998705525 Z=10608954491 M=5768
A=4280 B=7860 C=5668 X=431401272 Y=8601922648 Z=57709033884 M=1039
A=8274 B=6254 C=9476 X=215949523 Y=1906153251 Z=89772802073 M=4349
A=6584 B=8511 C=6202 X=272320624 Y=1490922995 Z=24437328186 M=4868
A=9017 B=4702 C=8537 X=897584219 Y=6487137383 Z=31632193040 M=3730
A=5684 B=4474 C=7396 X=673286883 Y=9293949029 Z=23599425416 M=7590
A=9106 B=6507 C=8497 X=747646504 Y=1985143844 Z=59546455844 M=4153
A=7807 B=4747 C=8043 X=259317877 Y=4630134786 Z=18057643195 M=1781
A=7904 B=4134 C=8887 X=307536624 Y=6827145526 Z=10113148080 M=5089
A=9128 B=7620 C=7967 X=350961794 Y=4989138938 Z=65069972718 M=2773
A=4660 B=5023 C=6555 X=165479985 Y=7660994627 Z=36901962819 M=5921
A=8506 B=5555 C=8274 X=624828835 Y=7856090055 Z=27893799301 M=1681
A=5650 B=9941 C=8222 X=316709473 Y=8650374941 Z=63221787901 M=8586
A=3698 B=8650 C=6269 X=335251025 Y=7220762059 Z=46548890239 M=7262
A=3643 B=6548 C=7275 X=587188744 Y=4277336914 Z=68285096783 M=2144
A=5615 B=4973 C=9114 X=526585094 Y=8177191614 Z=17403655348 M=1567
A=4091 B=6814 C=9589 X=974003215 Y=2782406180 Z=61887311082 M=3929
A=5356 B=7714 C=5563 X=246563891 Y=9634601869 Z=89920490349 M=1489
A=6002 B=3043 C=8982 X=553480605 Y=9245903638 Z=63652926203 M=4254
A=6963 B=6018 C=5965 X=499791045 Y=1822382210 Z=30468016884 M=4558
A=7018 B=8273 C=5663 X=172754330 Y=4443893717 Z=42427756583 M=6470
A=4707 B=7654 C=9698 X=835578007 Y=4736965748 Z=54879956221 M=6668
A=3677 B=7638 C=7515 X=118714005 Y=3657187626 Z=83284657403 M=6804
A=5058 B=3865 C=5397 X=242014293 Y=7600328056 Z=40693185874 M=4045
A=6101 B=7711 C=6457 X=610689603 Y=9510690226 Z=56134565361 M=5986
A=4245 B=3315 C=6255 X=257451199 Y=4575753308 Z=91406216281 M=5254
A=4663 B=6184 C=5033 X=247371018 Y=9013135879 Z=47549648717 M=8326
A=2891 B=9116 C=9741 X=899530489 Y=1554568761 Z=67945252954 M=9588
A=4737 B=8158 C=6104 X=671356682 Y=9164754320 Z=58401856167 M=6100
A=6192 B=5212 C=7526 X=735866287 Y=2789521560 Z=63319946020 M=7775
A=9786 B=6482 C=8308 X=964639102 Y=8481316061 Z=62829311943 M=5910
A=6992 B=4688 C=8128 X=412069361 Y=2313118130 Z=89675068558 M=9799
A=4912 B=4341 C=8896 X=757492085 Y=3297687409 Z=81282474641 M=2538
A=7673 B=4723 C=5848 X=724149769 Y=3442295965 Z=23827435489 M=5023
A=2722 B=7333 C=5091 X=581841766 Y=8562709719 Z=22619069131 M=6837
A=4736 B=4261 C=5486 X=524661837 Y=3132609796 Z=58748500583 M=8677
A=7511 B=9424 C=5428 X=248074673 Y=7080915102 Z=82658404679 M=4530
A=2566 B=3602 C=5534 X=873350718 Y=5276236216 Z=31480769287 M=5016
A=2085 B=5221 C=9105 X=313851070 Y=6959862960 Z=19008478056 M=8860
A=8089 B=7849 C=5952 X=111520384 Y=2150543205 Z=85733231896 M=8794
A=6715 B=8279 C=8986 X=908359086 Y=7469088093 Z=51963907828 M=7896
A=2295 B=9303 C=5067 X=474672442 Y=1779931239 Z=34177740032 M=7144
A=2839 B=7156 C=8637 X=166915218 Y=6418371974 Z=58581485255 M=5789
A=7558 B=7462 C=6320 X=735327792 Y=5497601830 Z=27163927686 M=5142
A=3637 B=3822 C=7240 X=219282221 Y=9171357566 Z=22699270868 M=5443
A=2824 B=3428 C=5466 X=510545282 Y=9534517896 Z=15371393658 M=4965
A=3298 B=9866 C=9823 X=336325741 Y=8086734871 Z=13236997448 M=3249
A=7006 B=4263 C=6031 X=150202517 Y=2257722678 Z=54627079909 M=7967
A=2809 B=6436 C=8141 X=933817344 Y=5548895301 Z=15896180070 M=5967
A=4664 B=9739 C=7888 X=632684954 Y=9199015172 Z=78247005670 M=4097
A=6355 B=3977 C=6645 X=766847264 Y=5764453588 Z=53145821015 M=7712
A=6448 B=4714 C=9463 X=462906013 Y=6311356659 Z=17575995912 M=8387
A=9391 B=4268 C=9151 X=477500507 Y=1462893735 Z=89779728265 M=7505
A=4200 B=5736 C=6055 X=677231054 Y=4755052606 Z=80173628900 M=2992
A=4030 B=5171 C=6596 X=421502720 Y=9021590549 Z=10799522565 M=7810
A=9312 B=7338 C=6921 X=567653928 Y=6332478515 Z=86904578086 M=6628
A=7814 B=8932 C=6520 X=617097153 Y=3935897239 Z=55174236622 M=3237
A=3275 B=5824 C=9876 X=775239932 Y=5819916672 Z=64972610112 M=6546
A=3996 B=6446 C=5467 X=945215780 Y=6458449729 Z=90099919806 M=5295
A=7937 B=8191 C=8668 X=142857065 Y=9971363487 Z=28011382674 M=3415
A=7967 B=9273 C=6821 X=778035135 Y=5807531141 Z=90950151595 M=7115
A=4665 B=8325 C=6074 X=814464498 Y=6829152938 Z=19443593305 M=2868
A=9665 B=3625 C=7602 X=661759580 Y=9870639866 Z=44438880779 M=8032
A=8385 B=3395 C=5239 X=263763898 Y=3251845325 Z=14190397166 M=9735
A=5133 B=9526 C=9443 X=255863692 Y=7502470363 Z=48625701025 M=7398
A=5177 B=9860 C=9450 X=983629840 Y=2334235490 Z=72065800247 M=7465
A=2302 B=7225 C=7062 X=578157349 Y=4131203383 Z=51506347065 M=2010
A=2507 B=8474 C=6924 X=995087533 Y=2046589870 Z=40729984094 M=8896
A=9281 B=8019 C=6754 X=340609505 Y=9220198358 Z=52879555644 M=8371
A=3441 B=8691 C=8303 X=340682865 Y=9131333768 Z=26592399082 M=3045
A=5936 B=9712 C=5309 X=943387864 Y=5770400899 Z=41727231101 M=1986
A=5148 B=3329 C=9309 X=313066585 Y=2401989603 Z=81285277160 M=8368
A=6424 B=9142 C=6517 X=629237750 Y=2326747837 Z=77350359943 M=5244
A=9414 B=3364 C=5362 X=524502786 Y=9506133807 Z=96216784501 M=5159
A=3982 B=4821 C=9084 X=700976428 Y=8380532550 Z=26396760415 M=8526
A=4529 B=9730 C=8493 X=268407603 Y=4862579660 Z=52954667079 M=2922
A=2780 B=7194 C=6117 X=491264944 Y=9243887155 Z=92615851044 M=1393
A=4627 B=5019 C=5909 X=240725389 Y=6767875726 Z=64052741137 M=9154
A=2433 B=7607 C=5675 X=599873109 Y=7123857477 Z=28023305301 M=8869
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=7779 B=3344 C=9311 X=198192771 Y=1695926022 Z=74435161806 M=8263
A=4596 B=3381 C=8239 X=212897974 Y=1351514744 Z=81363948493 M=3674
A=4798 B=3755 C=5859 X=534089153 Y=7689624074 Z=16348905431 M=6051
A=4138 B=9088 C=5585 X=546920539 Y=8876333725 Z=14003017830 M=2791
A=9969 B=7722 C=7155 X=677972219 Y=3758591589 Z=61117311874 M=1702
A=3955 B=9511 C=5629 X=923015136 Y=1599662493 Z=18994494355 M=5942
A=7792 B=9953 C=9782 X=325000890 Y=8418070558 Z=45486305001 M=1474
A=5429 B=9998 C=8378 X=875968338 Y=5109891027 Z=35570905547 M=7413
A=2998 B=6490 C=7282 X=836257304 Y=9146834410 Z=42395357566 M=3029
A=9133 B=9417 C=6771 X=749856251 Y=9906568109 Z=77461663261 M=7277
A=7513 B=9282 C=8806 X=556244149 Y=4955709492 Z=19632024603 M=8478
A=2658 B=5741 C=5237 X=668872105 Y=3303223397 Z=38003682991 M=4058
A=8760 B=9814 C=8050 X=291707629 Y=5687090386 Z=46559370563 M=3263
A=5381 B=3023 C=5481 X=724081604 Y=9641774108 Z=99657710713 M=9241
A=6270 B=7923 C=8929 X=866187534 Y=8969276417 Z=34033617834 M=9383
A=8842 B=5420 C=8776 X=692459650 Y=8653783397 Z=28335284158 M=1048
A=2348 B=4905 C=7852 X=395624986 Y=2003296057 Z=49652692984 M=7717
A=7614 B=7650 C=6091 X=126334843 Y=1558894809 Z=71225917473 M=7189
A=3056 B=8293 C=6766 X=455619853 Y=6042047105 Z=56831685928 M=8901
A=5202 B=8620 C=5617 X=824698376 Y=2141719356 Z=88104398519 M=4654
A=5016 B=5317 C=9326 X=467535915 Y=1994504853 Z=91609139060 M=4234
A=4983 B=9935 C=5740 X=510434513 Y=6166928063 Z=36666806363 M=4007
A=8175 B=8327 C=5667 X=263982580 Y=8395534049 Z=32875308725 M=8009
A=2025 B=6111 C=7806 X=990198292 Y=4942197419 Z=79300587573 M=9574
A=6520 B=7794 C=7099 X=282085998 Y=3890106634 Z=53734482995 M=3387
A=2277 B=8932 C=6909 X=400663378 Y=3067663041 Z=64392733292 M=4359
A=2189 B=3595 C=7731 X=151597908 Y=4079154520 Z=16041189661 M=1824
A=7234 B=5845 C=7477 X=596251454 Y=6724484014 Z=93016541547 M=8429
A=7925 B=4248 C=6511 X=434610616 Y=3520850859 Z=70998727901 M=2481
A=8714 B=9920 C=9215 X=771777691 Y=3723139141 Z=32983017819 M=8482
A=8162 B=5346 C=6416 X=480440915 Y=6528195018 Z=55151186102 M=4584
A=9006 B=7116 C=5759 X=761694713 Y=8545252215 Z=66606652459 M=8264
A=5708 B=8411 C=6395 X=408474206 Y=4311817637 Z=67572491502 M=4758
A=9634 B=9228 C=6189 X=760596674 Y=6646247517 Z=92554465826 M=4251
A=4525 B=8072 C=8867 X=709534396 Y=3664695557 Z=35725387500 M=5088
A=5815 B=6304 C=8244 X=731767394 Y=4441821259 Z=44026042613 M=4586
A=4498 B=9108 C=8361 X=439916189 Y=8973514960 Z=24546689331 M=8399
A=8362 B=4860 C=6478 X=327615175 Y=3805631661 Z=20113934351 M=4387
A=7957 B=8862 C=8144 X=423199417 Y=3517824791 Z=38853312941 M=7876
A=4519 B=6834 C=9792 X=793449818 Y=2269226955 Z=97737479605 M=6097
A=2317 B=8253 C=9447 X=646468717 Y=5556133807 Z=58176903453 M=3783
A=6580 B=3763 C=7523 X=614382715 Y=4404524959 Z=45368009602 M=1636
A=6373 B=6089 C=9148 X=971114556 Y=4527395756 Z=57161920872 M=3409
A=6314 B=8274 C=8273 X=704211639 Y=2901741190 Z=29683216291 M=9150
A=6219 B=8053 C=7853 X=967779359 Y=2751653269 Z=40820535159 M=6507
A=7836 B=6401 C=5172 X=542828403 Y=7422214213 Z=73827598362 M=2753
A=6860 B=6738 C=6939 X=629915331 Y=1227007452 Z=71975912154 M=6351
A=8933 B=3690 C=8754 X=922489088 Y=2892124949 Z=67744325348 M=4297
A=3202 B=8834 C=7830 X=649449986 Y=9611563001 Z=55677897691 M=2574
A=4328 B=7120 C=6743 X=548243957 Y=3175785075 Z=11212078287 M=8722
A=8022 B=5744 C=6752 X=787968469 Y=5318436833 Z=58070047650 M=6127
A=6443 B=9096 C=5794 X=534865096 Y=9916434766 Z=96848433872 M=9011
A=5497 B=6928 C=7704 X=899969547 Y=5267512085 Z=53277669115 M=1795
A=4818 B=3090 C=6591 X=209984277 Y=9423001499 Z=77905784539 M=5505
A=3833 B=4483 C=6040 X=863897675 Y=5082616470 Z=10875372149 M=9200
A=5818 B=8348 C=7689 X=206939400 Y=4258489455 Z=26117564618 M=3330
A=8522 B=9646 C=5900 X=944766857 Y=8211227742 Z=53835670673 M=2907
A=2517 B=9120 C=9026 X=680774152 Y=9021152391 Z=79824272455 M=6583
A=7788 B=3949 C=9529 X=269242647 Y=6877502343 Z=40738993986 M=2121
A=8508 B=6514 C=9639 X=939775856 Y=6779570281 Z=34665242009 M=3997
A=3306 B=7879 C=5731 X=188888404 Y=6934064725 Z=21010747105 M=5877
A=8725 B=5654 C=9879 X=979902651 Y=9274016415 Z=72729667304 M=2688
A=4864 B=7936 C=8176 X=260164644 Y=5012339999 Z=31541287102 M=9222
A=6188 B=5123 C=8640 X=117673520 Y=4114871023 Z=92973689455 M=2415
A=5257 B=4742 C=9801 X=643680011 Y=2787409830 Z=26080366391 M=2272
A=4424 B=7218 C=8567 X=917368173 Y=3721401529 Z=70762326394 M=2314
A=9663 B=5043 C=6662 X=787667143 Y=8455417799 Z=43233659636 M=7346
A=8692 B=9706 C=7786 X=326202537 Y=6771574330 Z=20456472904 M=3413
A=8484 B=4801 C=6547 X=948815059 Y=2834861632 Z=57855548906 M=4826
A=8004 B=7489 C=9278 X=739613804 Y=1633101263 Z=69354374738 M=8095
A=8779 B=9007 C=7029 X=201438930 Y=9104232211 Z=28719399823 M=5285
A=4363 B=6741 C=8679 X=920127620 Y=1598260391 Z=62862806657 M=9198
A=3363 B=7713 C=6422 X=284898606 Y=1403104487 Z=71703343119 M=7707
A=3399 B=4370 C=9961 X=367560661 Y=3259546267 Z=83577436063 M=6196
A=7081 B=9623 C=8566 X=976990799 Y=9864671017 Z=21361312184 M=4982
A=3188 B=9382 C=9757 X=925669990 Y=7529271154 Z=67999248075 M=2791
A=8948 B=9792 C=5523 X=734455384 Y=5057099225 Z=38411092174 M=5040
A=3285 B=8967 C=9842 X=186682990 Y=1154526929 Z=63066916373 M=8938
A=9237 B=6359 C=7887 X=465020615 Y=4998881456 Z=27879331456 M=1752
A=4641 B=8845 C=5830 X=543872681 Y=4468934597 Z=52977266354 M=5432
A=5175 B=5211 C=9697 X=488817534 Y=8072008838 Z=25726846775 M=5334
A=5091 B=3338 C=9885 X=469892944 Y=5009351644 Z=58352306441 M=4056
A=6959 B=9901 C=7870 X=380033733 Y=7335538025 Z=30862841458 M=3855
A=5690 B=3987 C=7430 X=151366806 Y=2484192133 Z=16519595790 M=8881
A=3764 B=6767 C=6935 X=228926072 Y=7231644977 Z=36167405033 M=3432
A=8021 B=4198 C=7852 X=548886440 Y=3417075775 Z=15462246547 M=5011
A=8827 B=3354 C=7311 X=974512559 Y=9837930033 Z=25500913542 M=6598
A=9617 B=3834 C=9371 X=275989111 Y=8878938669 Z=82809898961 M=8427
A=9430 B=4646 C=5004 X=421403049 Y=5576175466 Z=55965823173 M=6520
A=6996 B=3256 C=7896 X=638103997 Y=2829344049 Z=65539157207 M=5299
A=2256 B=3268 C=7185 X=487807225 Y=2701650329 Z=23985360878 M=6556
A=2222 B=6547 C=6358 X=860728102 Y=7654847232 Z=86654697257 M=5528
A=6305 B=7540 C=5508 X=586683194 Y=9707430801 Z=34379293289 M=7459
A=8700 B=4896 C=8888 X=130104680 Y=8307207859 Z=94181767451 M=7740
A=7008 B=6946 C=7425 X=708523881 Y=4340532151 Z=98653435693 M=3182
A=8764 B=4784 C=7388 X=438667172 Y=8760329605 Z=43260000173 M=3940
A=8722 B=3287 C=9289 X=816166451 Y=7200176651 Z=51877401978 M=9367
A=2593 B=3421 C=6611 X=381705105 Y=1683247228 Z=15598325111 M=3873
A=3643 B=9087 C=5964 X=317088569 Y=5450339236 Z=48575490716 M=7747
A=6561 B=9884 C=5954 X=324365074 Y=2168667469 Z=56131141309 M=8525
A=7550 B=4621 C=8428 X=268233960 Y=7720187199 Z=34387231009 M=6757
A=5197 B=5311 C=5061 X=324344736 Y=3452618579 Z=49921137861 M=2284
A=7468 B=7661 C=5101 X=947386824 Y=6501837733 Z=79445244060 M=6227
A=3495 B=5925 C=6932 X=561414480 Y=8672443587 Z=70988873222 M=4792
A=6524 B=7490 C=6242 X=992029189 Y=6257726338 Z=48320405305 M=4690
A=9454 B=5275 C=6989 X=915314140 Y=1301390449 Z=99287414555 M=4388
A=4575 B=3341 C=7377 X=403535502 Y=7079686653 Z=49407601641 M=6746
A=3694 B=3061 C=9937 X=763746250 Y=1685501650 Z=59421540863 M=3739
A=4913 B=5326 C=5283 X=556637916 Y=7621817952 Z=97324547648 M=9269
A=5729 B=5622 C=5157 X=397058073 Y=5198174973 Z=62757539721 M=3238
A=5344 B=6031 C=6116 X=732469376 Y=5746348332 Z=86617584560 M=7442
A=4231 B=6145 C=5521 X=353607196 Y=2060562156 Z=42262320080 M=2003
A=7327 B=8730 C=7289 X=758269892 Y=6035627044 Z=70884946578 M=7115
A=9654 B=5050 C=8941 X=566504214 Y=7295524844 Z=30064338916 M=7152
A=6241 B=5914 C=6926 X=422265913 Y=1042641006 Z=42237896526 M=9749
A=4253 B=9086 C=5447 X=569730905 Y=4508035872 Z=56283763763 M=5895
A=2125 B=5122 C=9737 X=978870186 Y=3322586016 Z=12877608871 M=2765
A=3726 B=3794 C=6735 X=613614194 Y=5059431587 Z=91106093452 M=1552
A=5387 B=4726 C=7337 X=905070258 Y=6964844837 Z=65202746071 M=2584
A=2677 B=6337 C=7620 X=342177359 Y=2187664966 Z=59302157127 M=7823
A=4584 B=8986 C=9483 X=902208271 Y=3678404418 Z=36626703917 M=8983
A=7770 B=4654 C=6460 X=487073575 Y=7280746476 Z=22239101920 M=1225
A=5940 B=6817 C=7945 X=167448876 Y=8807486381 Z=85235177849 M=2127
A=5788 B=9236 C=5602 X=909262145 Y=5326930881 Z=24961172080 M=9645
A=5457 B=4668 C=8034 X=885458840 Y=5024142954 Z=56374469631 M=3524
A=2255 B=8188 C=9725 X=144363569 Y=5068326153 Z=65879553981 M=3974
A=5038 B=8762 C=8396 X=584924205 Y=2945150415 Z=70841237172 M=9788
A=2715 B=5094 C=5842 X=626318557 Y=6003606198 Z=77319592088 M=3470
A=2385 B=5488 C=7434 X=464829988 Y=4127466119 Z=42167650194 M=6482
A=5173 B=8540 C=9480 X=652363822 Y=8706981259 Z=46078096528 M=9316
A=5561 B=3079 C=8556 X=916282600 Y=2262919532 Z=77346752158 M=7055
A=5875 B=3559 C=5550 X=832280643 Y=7956105034 Z=72131185961 M=9041
A=2876 B=8069 C=5752 X=571717934 Y=6292737983 Z=94407188035 M=6010
A=6750 B=4105 C=5794 X=669570128 Y=1235811515 Z=40396089862 M=1098
A=9249 B=4235 C=5403 X=469075338 Y=8863492655 Z=21094584661 M=6438
A=7419 B=8522 C=6914 X=844343370 Y=9493227236 Z=75368236783 M=2757
A=4259 B=3680 C=6212 X=112361292 Y=4798303277 Z=29422187731 M=9020
A=9654 B=6061 C=9067 X=142209378 Y=2191515713 Z=13632785413 M=4165
A=8462 B=9274 C=8270 X=445776865 Y=8912496463 Z=34154595086 M=1418
A=6907 B=7313 C=8710 X=952675503 Y=6929032615 Z=55037850454 M=1520
A=2696 B=7592 C=9620 X=888765538 Y=5831544698 Z=95280597326 M=9878
A=7641 B=7633 C=9723 X=913050821 Y=9362336122 Z=50465960374 M=4688
A=5894 B=6025 C=9553 X=196313244 Y=3621700808 Z=26675731328 M=8870
A=6011 B=6475 C=9818 X=557574363 Y=1811067853 Z=50435267210 M=4097
A=6158 B=3028 C=6122 X=419695044 Y=1029929848 Z=22075107859 M=4931
A=7387 B=7787 C=8436 X=961516474 Y=7685762090 Z=30536617217 M=2128
A=8922 B=3324 C=6185 X=602500233 Y=2256726631 Z=94751749101 M=9666
A=6684 B=4511 C=7996 X=815707579 Y=9048184652 Z=20570404996 M=8151
A=8117 B=3705 C=7597 X=941326991 Y=4460968408 Z=60679322836 M=5337
A=5539 B=9880 C=7000 X=192900772 Y=8664406460 Z=76097355203 M=8989
A=4053 B=5027 C=8436 X=219524558 Y=7268602022 Z=18901413256 M=1464
A=2125 B=9531 C=5972 X=437233505 Y=8019270940 Z=89466373322 M=3385
A=6474 B=6970 C=9671 X=501532699 Y=8683297974 Z=22100348370 M=2093
A=7771 B=3258 C=5467 X=784027680 Y=4233082837 Z=62573769311 M=5962
A=8907 B=9458 C=8535 X=253332006 Y=2228308132 Z=60029131594 M=8960
A=7444 B=6193 C=8572 X=860054068 Y=7004540461 Z=99764464394 M=2388
A=5113 B=4050 C=8429 X=206360817 Y=7966169934 Z=82790725466 M=6159
A=8736 B=9284 C=7526 X=963180136 Y=2645064687 Z=61837169724 M=4423
A=4364 B=5640 C=6393 X=651987521 Y=2729977209 Z=46661999407 M=4409
A=3476 B=4126 C=5674 X=340687935 Y=4332124446 Z=91420428139 M=7059
A=7781 B=7746 C=7456 X=211408081 Y=2045249986 Z=26143919433 M=5633
A=8951 B=6035 C=8905 X=566109450 Y=6284230526 Z=64167895483 M=1159
A=6621 B=4529 C=7014 X=649037596 Y=1328677894 Z=48106610110 M=8153
A=6350 B=7481 C=6439 X=280235604 Y=1813413992 Z=61519130184 M=6583
A=5089 B=7933 C=7783 X=623488444 Y=4129662656 Z=44236396707 M=4627
A=6992 B=5398 C=6028 X=273825839 Y=8163978733 Z=62121485651 M=5262
A=5209 B=3060 C=9333 X=333668876 Y=8779150053 Z=63152778467 M=5557
A=7321 B=7280 C=8936 X=593839065 Y=8390432075 Z=28288500589 M=9290
A=6429 B=3415 C=8635 X=736779443 Y=4257203063 Z=41077320721 M=6715
A=5883 B=3836 C=5083 X=641385742 Y=2078966476 Z=20009969052 M=3816
A=8576 B=4053 C=5559 X=975901989 Y=1069104044 Z=37332437487 M=4697
A=2911 B=3016 C=8367 X=900407928 Y=1987780408 Z=66125936634 M=7372
A=5530 B=4517 C=6034 X=820277187 Y=2128303473 Z=15394956582 M=5493
A=2112 B=7014 C=6730 X=468495798 Y=5968161233 Z=47198340081 M=9030
A=6840 B=7423 C=5930 X=875517517 Y=5507761497 Z=25147103273 M=3558
A=7069 B=5962 C=5850 X=903522017 Y=7357693816 Z=66983300271 M=3223
A=2215 B=7583 C=8195 X=746274695 Y=1701890060 Z=59211316880 M=9098
A=7053 B=4921 C=9016 X=914409382 Y=4179945674 Z=74014972412 M=8535
A=9144 B=3010 C=5302 X=117530223 Y=4335169414 Z=26391944616 M=4443
A=3032 B=3722 C=5400 X=630815295 Y=2914760618 Z=56945544518 M=9218
A=4294 B=7073 C=8765 X=616914705 Y=6677171901 Z=10875729688 M=5155
A=3086 B=9298 C=5119 X=352482090 Y=6268797234 Z=84036489737 M=9160
A=4060 B=9099 C=5396 X=849225676 Y=6820039225 Z=17213342595 M=2224
A=7366 B=8244 C=7122 X=250208321 Y=9603974057 Z=55365365418 M=7868
A=4887 B=6435 C=6270 X=695648388 Y=1401256361 Z=61583003223 M=9957
A=6610 B=7625 C=5407 X=801826080 Y=9174028525 Z=51150279017 M=1550
A=8032 B=4211 C=5294 X=592989501 Y=4640722834 Z=90884363264 M=8810
A=8747 B=5732 C=8536 X=425403839 Y=9464485642 Z=37043134480 M=2460
A=4140 B=8588 C=6368 X=831630209 Y=3945067165 Z=15449855387 M=2799
A=7377 B=9992 C=8356 X=724485969 Y=3579031081 Z=18506438360 M=8741
A=7002 B=6204 C=5896 X=972204382 Y=5791154078 Z=89014922101 M=2595
A=4736 B=7138 C=9844 X=690258620 Y=6304299909 Z=81151020796 M=9702
A=4101 B=7131 C=7044 X=351037873 Y=3365172477 Z=57781109560 M=2530
A=6295 B=9256 C=5195 X=971380645 Y=9504852154 Z=23544323039 M=9607
A=6761 B=3626 C=8542 X=181265269 Y=5126844253 Z=89529363977 M=3937
A=3263 B=4938 C=8234 X=460842615 Y=6945968159 Z=51672040196 M=6474
A=5815 B=5952 C=5945 X=269444718 Y=7410667797 Z=74658086270 M=3626
A=5991 B=4614 C=9326 X=161505568 Y=8864875582 Z=46416273536 M=2140
A=7686 B=4888 C=7146 X=191713460 Y=9833019584 Z=33719732964 M=7054
A=6709 B=3688 C=7579 X=360363455 Y=5984551832 Z=87519729289 M=1764
A=9684 B=4803 C=8439 X=748773820 Y=8566808253 Z=94277936263 M=9334
A=8546 B=4868 C=7987 X=911423153 Y=6462073133 Z=35984347030 M=2796
A=4324 B=9083 C=7719 X=982832956 Y=6812964038 Z=19337831036 M=5068
A=8566 B=4421 C=6484 X=927352517 Y=4597445762 Z=86164643736 M=7981
A=7096 B=4712 C=5145 X=455614147 Y=1846939463 Z=53443497812 M=6472
A=2016 B=3719 C=8368 X=247429979 Y=6265513469 Z=10466024191 M=7481
A=4649 B=4095 C=8195 X=334978574 Y=8458321359 Z=98427038411 M=4133
A=5026 B=9872 C=9335 X=379602023 Y=7676470226 Z=11761073147 M=9323
A=7020 B=4074 C=5244 X=916461796 Y=3851731826 Z=46341733080 M=7444
A=5322 B=3610 C=9530 X=273613853 Y=1165180615 Z=46997545017 M=5398
A=7474 B=5769 C=6925 X=145647264 Y=4892126585 Z=57455902199 M=9526
A=9563 B=4454 C=8578 X=374969953 Y=7956400721 Z=65798577601 M=1400
A=3362 B=9611 C=7186 X=633595968 Y=3184812250 Z=39020972971 M=4537
A=3358 B=7048 C=7566 X=675450119 Y=2345258318 Z=61034446744 M=1889
A=7373 B=7815 C=9553 X=139668961 Y=1568397081 Z=87313360769 M=9638
A=4533 B=7688 C=6269 X=828111887 Y=5682245703 Z=54763978789 M=8804
A=9289 B=3702 C=8368 X=242007516 Y=7365968841 Z=96513573553 M=4952
A=3763 B=7947 C=5013 X=838447033 Y=7280318819 Z=14627753597 M=2249
A=6510 B=8336 C=6334 X=297294913 Y=8542985925 Z=49458943060 M=6113
A=8976 B=6600 C=8585 X=953518606 Y=2966961987 Z=46201893474 M=4470
A=9450 B=5782 C=6994 X=682029194 Y=3634123336 Z=97092820929 M=8065
A=3279 B=4240 C=8918 X=933806658 Y=4540488086 Z=81972820292 M=5682
A=4093 B=3466 C=9918 X=696404370 Y=1485491342 Z=88104909448 M=9925
A=4553 B=3688 C=8597 X=164309091 Y=2996045958 Z=29673074710 M=5173
A=9010 B=5935 C=6203 X=446758473 Y=9776180152 Z=39081201349 M=2607
A=8863 B=6802 C=6215 X=230425873 Y=1323289246 Z=80763307689 M=9856
A=5044 B=8468 C=9838 X=482013256 Y=3410334312 Z=98169059205 M=2249
A=9687 B=3299 C=7431 X=710181521 Y=1259545440 Z=69262642113 M=8033
